"links";"names";"last.updates";"Vorgangstyp";"Referentenentwurf.Link";"Referentenentwurf.Date";"Regierungsentwurf.Link";"Regierungsentwurf.Date";"Gesetz.Link";"Gesetz.Date";"actors";"statement.date";"statement.links";"ministry"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"DFV";2020-07-22;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-dfv.pdf?__blob=publicationFile&v=2";"BMAS"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"VerbanIG BAU";2020-07-22;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-ig-bau.pdf?__blob=publicationFile&v=2";"BMAS"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"ArbeitgeberverbanGesamtmetall";2020-07-23;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-arbeitgeberverband-gesamtmetall.pdf?__blob=publicationFile&v=2";"BMAS"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"Bundesagentur für Arbeit";2020-07-23;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-bundesagentur-fuer-arbeit.pdf?__blob=publicationFile&v=2";"BMAS"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"Bundesanstalt für Arbeitsschutz und Arbeitsmedizin";2020-07-23;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-bundesanstalt-fuer-arbeitsschutz-und-arbeitsmedizin.pdf?__blob=publicationFile&v=3";"BMAS"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"BundesarbeitgeberverbanPersonaldienstleister e.V.";2020-07-23;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-bap.pdf?__blob=publicationFile&v=2";"BMAS"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"Bundesvereinigung Deutschen Arbeitgeberverbände";2020-07-23;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-bda.pdf?__blob=publicationFile&v=2";"BMAS"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"Christlichen Gewerkschaftsbund Deutschlands";2020-07-23;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-cgb.pdf?__blob=publicationFile&v=2";"BMAS"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"VerbanDGUV";2020-07-23;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-dguv.pdf?__blob=publicationFile&v=2";"BMAS"
"https://www.bmas.de/DE/Service/Gesetze/arbeitsschutzkontrollgesetz.html";"Gesetz zur Verbesserung des Vollzugs im Arbeitsschutz";2020-07-29;"Gesetz";"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Referentenentwuerfe/ref-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=5";2020-07-21;"https://www.bmas.de/SharedDocs/Downloads/DE/PDF-Gesetze/Regierungsentwuerfe/reg-arbeitsschutzkontrollgesetz.pdf?__blob=publicationFile&v=4";2020-07-29;NA;NA;"Deutschen Gewerkschaftsbundes";2020-07-23;"https://www.bmas.de//SharedDocs/Downloads/DE/PDF-Gesetze/Stellungnahmen/arbeitsschutzkontrollgesetz-dgb.pdf?__blob=publicationFile&v=2";"BMAS"
