"links";"names";"last.updates";"Vorgangstyp";"Referentenentwurf.Link";"Referentenentwurf.Date";"Regierungsentwurf.Link";"Regierungsentwurf.Date";"Gesetz.Link";"Gesetz.Date";"actors";"statement.date";"statement.links";"ministry"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_VII/19_Legislaturperiode/2020-08-11-einfuehrung-elektronische-wertpapiere/0-Gesetz.html";"Entwurf eines Gesetzes zur Einführung von elektronischen Wertpapieren";"2020-08-11";"Gesetz";"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_VII/19_Legislaturperiode/2020-08-11-einfuehrung-elektronische-wertpapiere/1-Referentenentwurf.pdf?__blob=publicationFile&v=2";NA;NA;NA;NA;NA;NA;NA;NA;"BMF"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_Z_/19_Legislaturperiode/2020-07-29-ITZBund-Umwandlungsgesetz/0-Gesetz.html";"Entwurf eines Gesetzes über die Umwandlung des Informationstechnikzentrums Bund in eine nichtrechtsfähige Anstalt des öffentlichen Rechts und zur Änderung weiterer Vorschriften (ITZBund-Umwandlungsgesetz - ITZBundG)";"2020-07-29";"Gesetz";NA;NA;NA;NA;NA;NA;NA;NA;NA;"BMF"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/0-Gesetz.html";"Zweites Gesetz zur steuerlichen Entlastung von Familien sowie zur Anpassung weiterer steuerlicher Regelungen (2. FamEntlastG)";"2020-07-29";"Gesetz";"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-00-anschreiben.pdf?__blob=publicationFile&v=2";NA;"/Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/2-Gesetzesentwurf.pdf?__blob=publicationFile&v=4";NA;NA;NA;"Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege e. V. (BAGFW)";NA;"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-01-BAGFW.pdf?__blob=publicationFile&v=2";"BMF"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/0-Gesetz.html";"Zweites Gesetz zur steuerlichen Entlastung von Familien sowie zur Anpassung weiterer steuerlicher Regelungen (2. FamEntlastG)";"2020-07-29";"Gesetz";"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-00-anschreiben.pdf?__blob=publicationFile&v=2";NA;"/Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/2-Gesetzesentwurf.pdf?__blob=publicationFile&v=4";NA;NA;NA;"Bundesvereinigung der Deutschen Arbeitgeberverbände (BDA)";NA;"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-02-BDA.pdf?__blob=publicationFile&v=2";"BMF"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/0-Gesetz.html";"Zweites Gesetz zur steuerlichen Entlastung von Familien sowie zur Anpassung weiterer steuerlicher Regelungen (2. FamEntlastG)";"2020-07-29";"Gesetz";"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-00-anschreiben.pdf?__blob=publicationFile&v=2";NA;"/Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/2-Gesetzesentwurf.pdf?__blob=publicationFile&v=4";NA;NA;NA;"Bundessteuerberaterkammer (BStBK)";NA;"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-03-BStBK.pdf?__blob=publicationFile&v=2";"BMF"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/0-Gesetz.html";"Zweites Gesetz zur steuerlichen Entlastung von Familien sowie zur Anpassung weiterer steuerlicher Regelungen (2. FamEntlastG)";"2020-07-29";"Gesetz";"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-00-anschreiben.pdf?__blob=publicationFile&v=2";NA;"/Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/2-Gesetzesentwurf.pdf?__blob=publicationFile&v=4";NA;NA;NA;"Bundesverbands Lohnsteuerhilfevereine e.V. (BVL)";NA;"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-04-BVL.pdf?__blob=publicationFile&v=2";"BMF"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/0-Gesetz.html";"Zweites Gesetz zur steuerlichen Entlastung von Familien sowie zur Anpassung weiterer steuerlicher Regelungen (2. FamEntlastG)";"2020-07-29";"Gesetz";"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-00-anschreiben.pdf?__blob=publicationFile&v=2";NA;"/Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/2-Gesetzesentwurf.pdf?__blob=publicationFile&v=4";NA;NA;NA;"dbb beamtenbund und tarifunion";NA;"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-05-dbb.pdf?__blob=publicationFile&v=2";"BMF"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/0-Gesetz.html";"Zweites Gesetz zur steuerlichen Entlastung von Familien sowie zur Anpassung weiterer steuerlicher Regelungen (2. FamEntlastG)";"2020-07-29";"Gesetz";"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-00-anschreiben.pdf?__blob=publicationFile&v=2";NA;"/Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/2-Gesetzesentwurf.pdf?__blob=publicationFile&v=4";NA;NA;NA;"Deutschen Juristinnenbunds e.V. (djb)";NA;"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-06-djb.pdf?__blob=publicationFile&v=2";"BMF"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/0-Gesetz.html";"Zweites Gesetz zur steuerlichen Entlastung von Familien sowie zur Anpassung weiterer steuerlicher Regelungen (2. FamEntlastG)";"2020-07-29";"Gesetz";"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-00-anschreiben.pdf?__blob=publicationFile&v=2";NA;"/Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/2-Gesetzesentwurf.pdf?__blob=publicationFile&v=4";NA;NA;NA;"Geschäftsstelle des Deutschen Vereins für öffentliche und private Fürsorge e. V. (dv)";NA;"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-07-dv.pdf?__blob=publicationFile&v=2";"BMF"
"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/0-Gesetz.html";"Zweites Gesetz zur steuerlichen Entlastung von Familien sowie zur Anpassung weiterer steuerlicher Regelungen (2. FamEntlastG)";"2020-07-29";"Gesetz";"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-00-anschreiben.pdf?__blob=publicationFile&v=2";NA;"/Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/2-Gesetzesentwurf.pdf?__blob=publicationFile&v=4";NA;NA;NA;"evangelischen arbeitsgemeinschaft familie e.V. (eaf)";NA;"https://www.bundesfinanzministerium.de//Content/DE/Gesetzestexte/Gesetze_Gesetzesvorhaben/Abteilungen/Abteilung_IV/19_Legislaturperiode/Gesetze_Verordnungen/2020-07-03-Zweites-FamEntlastG/Stellungnahme-08-eaf.pdf?__blob=publicationFile&v=2";"BMF"
