"links";"names";"last.updates";"Vorgangstyp";"Referentenentwurf.Link";"Referentenentwurf.Date";"Regierungsentwurf.Link";"Regierungsentwurf.Date";"Gesetz.Link";"Gesetz.Date";"actors";"statement.date";"statement.links";"ministry"
NA;"Versorgungsverbesserungsgesetz (GPVG)";NA;"Gesetz";"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/G/GPVG_RefE.pdf";2020-08-06;NA;NA;NA;NA;NA;NA;NA;"BMG"
NA;"Krankenhauszukunftsgesetz (KHZG)";NA;"Gesetz";"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/K/KHZG_RefE.PDF";2020-08-06;NA;NA;NA;NA;NA;NA;NA;"BMG"
NA;"Verordnung zur Testpflicht von Einreisenden aus Risikogebieten";NA;"Verordnung";"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/C/Coronavirus/Entwurf_TestpflichtVO_BMG_07.08.2020.pdf";2020-08-03;NA;NA;"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/C/Coronavirus/Testpflicht_Risikogebiete_VO_BAnz_AT_070820.pdf";2020-08-08;NA;NA;NA;"BMG"
NA;"MTA-Reform-Gesetz";NA;"Gesetz";"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/M/MTA-Reform-Gesetz_RefE.pdf";2020-08-04;NA;NA;NA;NA;NA;NA;NA;"BMG"
NA;"Verordnung  zur  Änderung  der  Verordnung  zum  Anspruch  auf  bestimmte Testungen für den Nachweis des Vorliegens einer Infektion mit dem Coronavirus SARS-Cov-2";NA;"Verordnung";"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/C/Coronavirus/RefE_AEndVO_TestVO_mit_Begruendung.pdf";2020-07-31;NA;NA;"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/C/Coronavirus/AEndVO-TestVO_BAnz_AT.pdf";2020-08-01;NA;NA;NA;"BMG"
NA;"Zweite Verordnung zur Änderung der Pflegepersonaluntergrenzen-Verordnung";NA;"Verordnung";NA;NA;NA;NA;"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/P/2._VO._Pflegepersonaluntergrenzen.pdf";2020-07-17;NA;NA;NA;"BMG"
"https://www.bundesgesundheitsministerium.de/service/gesetze-und-verordnungen/guv-19-lp/stellungnahmen-refe/20-vo-btmg.html";"Zwanzigste Verordnung zur Änderung von Anlagen des Betäubungsmittelgesetzes";NA;"Verordnung";"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/B/2020-03-04_RefE_20-BtMAEndV.pdf";2020-03-04;NA;2020-05-20;"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/B/20._VO._BtMG.pdf";2020-07-17;"DG-Sucht e. V.";NA;"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/Stellungnahmen_WP19/20._VO._BtMG/DG_Sucht.pdf";"BMG"
"https://www.bundesgesundheitsministerium.de/service/gesetze-und-verordnungen/guv-19-lp/stellungnahmen-refe/20-vo-btmg.html";"Zwanzigste Verordnung zur Änderung von Anlagen des Betäubungsmittelgesetzes";NA;"Verordnung";"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/B/2020-03-04_RefE_20-BtMAEndV.pdf";2020-03-04;NA;2020-05-20;"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/B/20._VO._BtMG.pdf";2020-07-17;"Deutsche Schmerzgesellschaft e. V.";NA;"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/Stellungnahmen_WP19/20._VO._BtMG/Dt._Schmerzgesellschaft.pdf";"BMG"
"https://www.bundesgesundheitsministerium.de/service/gesetze-und-verordnungen/guv-19-lp/stellungnahmen-refe/npsgaendv.html";"Verordnung zur Änderung der Anlage des Neue-psychoaktive-Stoffe-Gesetzes";NA;"Verordnung";"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/N/2020-03-04_RefE_NpSGAEndV.pdf";2020-03-04;NA;NA;"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/N/BGBl_NpSGAEndV.pdf";2020-07-09;"DG-Sucht e. V.";NA;"https://www.bundesgesundheitsministerium.dehttps://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/Stellungnahmen_WP19/20._VO._BtMG/DG_Sucht.pdf";"BMG"
"https://www.bundesgesundheitsministerium.de/service/gesetze-und-verordnungen/guv-19-lp/stellungnahmen-refe/npsgaendv.html";"Verordnung zur Änderung der Anlage des Neue-psychoaktive-Stoffe-Gesetzes";NA;"Verordnung";"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/N/2020-03-04_RefE_NpSGAEndV.pdf";2020-03-04;NA;NA;"https://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/GuV/N/BGBl_NpSGAEndV.pdf";2020-07-09;"Deutsche Schmerzgesellschaft e. V.";NA;"https://www.bundesgesundheitsministerium.dehttps://www.bundesgesundheitsministerium.de/fileadmin/Dateien/3_Downloads/Gesetze_und_Verordnungen/Stellungnahmen_WP19/20._VO._BtMG/Dt._Schmerzgesellschaft.pdf";"BMG"
