actor;law;link.law;date;link.statement;V10b;V4;PH;in.gesamt;;
Bund Deutscher Rechtspfleger;Änderung der Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Oeffentliche_Bekannmachung_im_insolvenzverfahren_im_internet.html;06. Sep 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/090618_Stellungnahme_BDR_InsoBekV.pdf?__blob=publicationFile&v=1;BR-Drs 338/19 (Verordnung) ;2690;0;0;;**
Bundesarbeitskreis Insolvenzgerichte e.V.;Änderung der Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Oeffentliche_Bekannmachung_im_insolvenzverfahren_im_internet.html;03. Sep 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/090318_Stellungnahme_BAKinso_InsoBekV.pdf?__blob=publicationFile&v=1;BR-Drs 338/19 (Verordnung) ;NA;0;0;;**
BVI - Bundesverband Investment und Asset Management e. V.;Änderung der Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Oeffentliche_Bekannmachung_im_insolvenzverfahren_im_internet.html;06. Sep 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/090618_Stellungnahme_BVI_InsoBekV.pdf?__blob=publicationFile&v=1;BR-Drs 338/19 (Verordnung) ;622;0;0;;**
Deutsche Rentenversicherung;Änderung der Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Oeffentliche_Bekannmachung_im_insolvenzverfahren_im_internet.html;03. Sep 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/090318_Stellungnahme_DeuRV_InsoBekV.pdf?__blob=publicationFile&v=1;BR-Drs 338/19 (Verordnung) ;80;0;0;;**
Deutscher Beamtenbund;Änderung der Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Oeffentliche_Bekannmachung_im_insolvenzverfahren_im_internet.html;06. Sep 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/090618_Stellungnahme_DBB_InsoBekV.pdf?__blob=publicationFile&v=1;BR-Drs 338/19 (Verordnung) ;NA;0;0;;**
Deutscher Notarverein;Änderung der Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Oeffentliche_Bekannmachung_im_insolvenzverfahren_im_internet.html;30. Aug 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/083018_Stellungnahme_DNotV_InsoBekV.pdf?__blob=publicationFile&v=1;BR-Drs 338/19 (Verordnung) ;272;0;0;;**
Gravenbrucher Kreises;Änderung der Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Oeffentliche_Bekannmachung_im_insolvenzverfahren_im_internet.html;04. Sep 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/090418_Stellungnahme_GK_InsoBekV.pdf?__blob=publicationFile&v=1;BR-Drs 338/19 (Verordnung) ;NA;0;0;;**
Verband Insolenzverwalter Deutschlands;Änderung der Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Oeffentliche_Bekannmachung_im_insolvenzverfahren_im_internet.html;03. Sep 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/090318_Stellungnahme_VID_InsoBekV.pdf?__blob=publicationFile&v=1;BR-Drs 338/19 (Verordnung) ;NA;0;0;;**
Arbeitskreis Bilanzrecht Hochschullehrer Rechtswissenschaft;Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;02. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10022014_Stellungnahme_AK%20BilanzR%20_RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;NA;1;1;;
Bundesnotarkammer;Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;17. Sep 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/09172014_Stellungnahme_Bundesnotarkammer_RefE_BilRUG.pdf?__blob=publicationFile&v=2;18/4050;504;1;1;;
Bundessteuerberaterkammer (BStBK);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;02. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10022014_Stellungnahme_Bundessteuerberaterkammer_RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;218;1;1;;
Bundesverband der Deutschen Industrie e. V. (BDI);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;06. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10062014_Stellungnahme_BDI_RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;41;1;1;;
Bundesverband der Deutschen Volksbanken und Raiffeisenbanken e. V.;Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;01. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10012014_Stellungnahme_Bundesverband_der_Deutschen_Volksbanken_und_Raiffeisenbanken_e._V._RefE_BilRUG.pdf?__blob=publicationFile&v=4;18/4050;678;1;1;;
Bundesverband deutscher Wohnungs- und Immobilienunternehmen e. V. (GdW);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;29. Sep 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/09292014_Stellungnahme_GdW_RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;191;1;1;;
Bundesverband mittelständische Wirtschaft, Unternehmerverband Deutschland e. V. (BVMW) und Institut für Betriebsberatung, Wirtschaftsförderung  und -forschung e. V. (IBWF);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;30. Sep 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/09302014_Stellungnahme_BVMW_RefE_BilRUG.pdf?__blob=publicationFile&v=4;18/4050;NA;1;1;;
Deutscher Buchprüferverband e. V. (DBV);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;01. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10012014_Stellungnahme_DBV_RefE_BilRUG.pdf?__blob=publicationFile&v=4;18/4050;2929;1;1;;
Deutscher Genossenschafts- und Raiffeisen-Verband e. V. (DGRV);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;23. Sep 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/09232014_Stellungnahme_DGRV_RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;NA;1;1;;
Deutscher Gewerkschaftsbund Bundesvorstand (DGB);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;22. Sep 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/09222014_Stellungnahme_DGB_RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;NA;1;1;;
Deutscher Industrie- und Handelskammertag e. V. (DIHK);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;02. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10022014_Stellungnahme_DIHK_RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;1;1;1;;
Deutscher Steuerberaterverband e. V. (DStV) Arbeitskreis Rechnungslegung;Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;30. Sep 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/09302014_Stellungnahme_Deutscher_Steuerberaterverband_e._V._RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;590;1;1;;
Deutsches Rechnungslegungs Standards Committee e. V. (DRSC);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;06. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10062014_Stellungnahme_DRSC_RefE_BilRUG.pdf?__blob=publicationFile&v=2;18/4050;NA;1;1;;
Die Familienunternehmer - ASU e. V.;Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;18. Sep 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/09182014_Stellungnahme_Die_Familienunternehmer_ASU_RefE_BilRUG.pdf?__blob=publicationFile&v=4;18/4050;445;1;1;;
Gemeinsame Konferenz Kirche und Entwicklung (GKKE);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;07. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10072014_Stellungnahme_GKKE_RefE_BilRUG.pdf?__blob=publicationFile&v=2;18/4050;1021;1;1;;
