actor;law;link.law;date;link.statement;V10b;V4;PH
Aareal Bank AG (der Veröffentlichung wurde widersprochen);Gesetz zur Umsetzung der Richtlinie über die Vergleichbarkeit von Zahlungskontoentgelten, den Wechsel von Zahlungskonten sowie den Zugang zu Zahlungskonten mit grundlegenden Funktionen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Zahlungskonten.html;02. Okt 15;NA;18/7204;5260;1
Abschlussprüferaufsichtskommission (APAK);Gesetz zur Umsetzung der prüfungsbezogenen Regelungen der Richtlinie 2014/56/EU sowie zur Ausführung der entsprechenden Vorgaben der Verordnung (EU) Nr. 537/2014 im Hinblick auf die Abschlussprüfung bei Unternehmen von öffentlichem Interesse (Abschlussprüfungsreformgesetz – AReG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Abschlusspruefungsreformgesetz.html;10. Jun 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/06102015_Stellungnahme_APAK_RefE_AReG.pdf?__blob=publicationFile&v=1;18/7219;1935;1
ADAC;Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;01. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02012019_Stellungnahme_ADAC_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=4;16/444;NA;1
ADAC;Gesetz zur Durchführung der Verordnung (EU) Nr. 1215/2012 sowie zur Änderung sonstiger Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bruessel_Ia_VO.html;23. Sep 13;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2013/Downloads/09232013_Stellungnahme_ADAC_RefE_Bruessel_IA_Verordnung.pdf?__blob=publicationFile&v=1;NA;NA;
ADAC;Gesetz zur Einführung eines Anspruchs auf Hinterbliebenengeld;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Hinterbliebenengeld.html;16. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01162017_Stellungnahme_ADAC_RefE_Hinterbliebenengeld.pdf?__blob=publicationFile&v=1;NA;NA;
ADAC, Juristische Zentrale Leiterin Verbraucherschutz Recht Silvia Schattenkirchner;Verbraucherstreitbeilegungsgesetz;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Verbraucherstreitbeilegungsgesetz_ADR_Richtlinie.html;23. Jan 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/01232015_Stellungnahme_ADAC_RefE_Streitbeilegungsgesetz_ADR_Richtlinie.pdf?__blob=publicationFile&v=1;NA;NA;
AfW - Bundesverband Finanzdienstleistung e.V.;Gesetz zur Umsetzung der Wohnimmobilienkreditrichtlinie und zur Änderung handelsrechtlicher Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Umsetzung_Wohnimmobilienkreditrichtlinie.html;13. Feb 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/02132015_Stellungnahme_AfW_REfE_Umsetzung_Wohnimmobilienkreditrichtlinie.pdf?__blob=publicationFile&v=1;18/5922;764;
AG Verleih (Verband unabhängiger Filmverleiher e.V.);Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft (UrhWissG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/UrhWissG.html;02. Mrz 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/03022017_Stellungnahme_AG_Verleih_RefE_UrhWissG.pdf?__blob=publicationFile&v=4;NA;NA;
AIA Aktiengesellschaft;Gesetz zur Reform des Bauvertragsrechts und zur Änderung der kaufrechtlichen Mängelhaftung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bauvertragsrecht.html;11. Nov 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/11112015_Stellungnahme_AIA_RefE_Bauvertragsrecht.pdf?__blob=publicationFile&v=1;NA;NA;
Airbus Defence and Space GmbH;Gesetz zur verbesserten Durchsetzung des Anspruchs der Urheber und ausübenden Künstler auf angemessene Vergütung und zur Regelung von Fragen der Verlegerbeteiligung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Urhebervertragsrecht.html;07. Jan 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/01072016_Stellungnahme_Airbus_RefE_Urhebervertragsrecht.pdf?__blob=publicationFile&v=1;18/8625;NA;
