"links";"names";"last.updates";"Vorgangstyp";"Referentenentwurf.Link";"Referentenentwurf.Date";"Regierungsentwurf.Link";"Regierungsentwurf.Date";"Gesetz.Link";"Gesetz.Date";"actors";"statement.date";"statement.links";"ministry"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über die Statistik für das Hochschulwesen sowie für die Berufsakademien";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_HStatG_20092017.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/hstatg_1990/";NA;"Verbandes der Privaten Hochschulen e.V. zum Referentenentwurf eines Gesetzes zur Änderung des Hochschulstatistikgesetzes des Bundesministeriums für Bildung und Forschung";NA;"https://www.bmbf.de/files/StN_HStatG_VPH_01062015.pdf";"BMBF"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über die Statistik für das Hochschulwesen sowie für die Berufsakademien";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_HStatG_20092017.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/hstatg_1990/";NA;"Hochschulrektorenkonferenz zum Referentenentwurf eines Gesetzes zur Änderung des Hochschulstatistikgesetzes des Bundesministeriums für Bildung und Forschung";NA;"https://www.bmbf.de/files/StN_HStatG_HRK_08062015.pdf";"BMBF"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über die Statistik für das Hochschulwesen sowie für die Berufsakademien";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_HStatG_20092017.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/hstatg_1990/";NA;" Deutschen Akademischen Austauschdienstes (DAAD) zum Referentenentwurf eines Gesetzes zur Änderung des Hochschulstatistikgesetzes des Bundesministeriums für Bildung und Forschung";NA;"https://www.bmbf.de/files/DAAD_Kommentierung_150513%20Referentenentwurf%20HStatG%20Leitungsvorlage_DAAD_final.pdf";"BMBF"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über befristete Arbeitsverträge in der Wissenschaft";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_1WissZeitVGAendg_09072015.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/wisszeitvg/";NA;"Hochschulrektorenkonferenz (HRK) zum Referentenentwurf des ersten Gesetzes zur Änderung des Wissenschaftszeitvertragsgesetzes (1. WissZeitVGÄndG)";NA;"https://www.bmbf.de/files/StN_HRK_1WissZeit_VGAendg.pdf";"BMBF"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über befristete Arbeitsverträge in der Wissenschaft";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_1WissZeitVGAendg_09072015.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/wisszeitvg/";NA;"Wissenschaftsrates (WR) zum Referentenentwurf des ersten Gesetzes zur Änderung des Wissenschaftszeitvertragsgesetzes (1. WissZeitVGÄndG)";NA;"https://www.bmbf.de/files/StN_WRat_1WissZeitVGaendG.pdf";"BMBF"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über befristete Arbeitsverträge in der Wissenschaft";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_1WissZeitVGAendg_09072015.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/wisszeitvg/";NA;"Deutschen Gewerkschaftsbundes (DGB) zum Referentenentwurf des Bundesministeriums für Bildung und Forschung für ein Erstes Gesetz zur Änderung des Wissenschaftszeitvertragsgesetzes (1. WissZeitVGÄndG)";NA;"https://www.bmbf.de/files/StN_DGB_1WissZeitVGAendG.pdf";"BMBF"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über befristete Arbeitsverträge in der Wissenschaft";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_1WissZeitVGAendg_09072015.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/wisszeitvg/";NA;"Arbeitsgemeinschaft der Wissenschaftlichen Medizinischen Fachgesellschaften e.V. (AWMF) zum Referentenentwurf des Bundesministeriums für Bildung und Forschung für ein Erstes Gesetz zur Änderung des Wissenschaftszeitvertragsgesetzes (1. WissZeitVGÄndG)";NA;"https://www.bmbf.de/files/StN_AWMF_1_WissZeitVGAendG_28072015.pdf";"BMBF"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über befristete Arbeitsverträge in der Wissenschaft";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_1WissZeitVGAendg_09072015.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/wisszeitvg/";NA;"Vorstandes Bundeskonferenz der Frauenbeauftragten und Gleichstellungsbeauftragen an Hochschulen e.V. (BuKoF) zum Referentenentwurf des Bundesministeriums für Bildung und Forschung für ein Erstes Gesetz zur Änderung des Wissenschaftszeitvertragsgesetzes (1. WissZeitVGÄndG)";NA;"https://www.bmbf.de/files/StN_BuKoF_1WissZeitVGAendG.pdf";"BMBF"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über befristete Arbeitsverträge in der Wissenschaft";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_1WissZeitVGAendg_09072015.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/wisszeitvg/";NA;"Deutschen Akademikerinnen Bund (DAB) zum Referentenentwurf des Bundesministeriums für Bildung und Forschung für ein Erstes Gesetz zur Änderung des Wissenschaftszeitvertragsgesetzes (1. WissZeitVGÄndG)";NA;"https://www.bmbf.de/files/StN_DAB_1WissZeitVGAendG.pdf";"BMBF"
"https://www.bmbf.de/de/gesetze-267.html";"Gesetz über befristete Arbeitsverträge in der Wissenschaft";NA;"Gesetz";"https://www.bmbf.de//files/Referentenentwurf_1WissZeitVGAendg_09072015.pdf";NA;NA;NA;"https://www.gesetze-im-internet.de/wisszeitvg/";NA;"dbb Beamtenbund und Tarifunion / Verband Hochschule und Wissenschaft im dbb zum Referentenentwurf des Bundesministeriums für Bildung und Forschung für ein Erstes Gesetz zur Änderung des Wissenschaftszeitvertragsgesetzes (1. WissZeitVGÄndG)";NA;"https://www.bmbf.de/files/StN_DBB_1WissZeitVGAendG.pdf";"BMBF"
