"links";"names";"last.updates";"Vorgangstyp";"Referentenentwurf.Link";"Referentenentwurf.Date";"Regierungsentwurf.Link";"Regierungsentwurf.Date";"Gesetz.Link";"Gesetz.Date";"actors";"statement.date";"statement.links";"ministry"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/AgrStatEBV.html";"Verordnung zur Erhebung agrarstatistischer Daten für die Emissionsberichterstattung";2020-09-02;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/AgrStatEBV.pdf?__blob=publicationFile&v=3";NA;NA;NA;NA;NA;"Bundesverband Rind und Schwein";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Stellungnahmen/AgrStatEBV-bv-rind-schwein.pdf?__blob=publicationFile&v=3";"BMEL"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/AgrStatEBV.html";"Verordnung zur Erhebung agrarstatistischer Daten für die Emissionsberichterstattung";2020-09-02;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/AgrStatEBV.pdf?__blob=publicationFile&v=3";NA;NA;NA;NA;NA;"Deutscher Bauernverband";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Stellungnahmen/AgrStatEBV-dbv.pdf?__blob=publicationFile&v=4";"BMEL"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/AgrStatEBV.html";"Verordnung zur Erhebung agrarstatistischer Daten für die Emissionsberichterstattung";2020-09-02;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/AgrStatEBV.pdf?__blob=publicationFile&v=3";NA;NA;NA;NA;NA;"Verband der Landwirtschaftskammern";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Stellungnahmen/AgrStatEBV-vlk.pdf?__blob=publicationFile&v=2";"BMEL"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/VO-TierwohlKG.html";"Tierwohlkennzeichenverordnung – TierWKV";2020-08-24;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/TierWKV.pdf?__blob=publicationFile&v=5";NA;NA;NA;NA;NA;NA;NA;NA;"BMEL"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/3Aend-DirektZahlDurchfV-u-AgrarZahlVerpflV.html";"Dritten Verordnung  zur Änderung der Direktzahlungen-Durchführungsverordnung und der Agrarzahlungen-Verpflichtungenverordnung";2020-08-20;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/3Aend-DirektZahlDurchfV-u-AgrarZahlVerpflV.pdf?__blob=publicationFile&v=3";NA;NA;NA;NA;NA;"Bundesverband der Berufsschäfer";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Stellungnahmen/3Aend-DirektZahlDurchfV-u-AgrarZahlVerpflV-berufsschaefer.pdf?__blob=publicationFile&v=2";"BMEL"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/3Aend-DirektZahlDurchfV-u-AgrarZahlVerpflV.html";"Dritten Verordnung  zur Änderung der Direktzahlungen-Durchführungsverordnung und der Agrarzahlungen-Verpflichtungenverordnung";2020-08-20;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/3Aend-DirektZahlDurchfV-u-AgrarZahlVerpflV.pdf?__blob=publicationFile&v=3";NA;NA;NA;NA;NA;"Vereinigung Deutscher Landesschafzuchtverbände und Bundesverband Deutscher Ziegenzüchter";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Stellungnahmen/3Aend-DirektZahlDurchfV-u-AgrarZahlVerpflV-VDL-BDZ.pdf?__blob=publicationFile&v=2";"BMEL"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/3Aend-DirektZahlDurchfV-u-AgrarZahlVerpflV.html";"Dritten Verordnung  zur Änderung der Direktzahlungen-Durchführungsverordnung und der Agrarzahlungen-Verpflichtungenverordnung";2020-08-20;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/3Aend-DirektZahlDurchfV-u-AgrarZahlVerpflV.pdf?__blob=publicationFile&v=3";NA;NA;NA;NA;NA;"Deutscher Bauernverband";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Stellungnahmen/3Aend-DirektZahlDurchfV-u-AgrarZahlVerpflV-DBV.pdf?__blob=publicationFile&v=2";"BMEL"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/1VO-Aend-Lebensmittelinformations-DVO.html";"Erste Verordnung zur Änderung der Lebensmittelinformations-Durchführungsverordnung";2020-08-19;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/1VO-Aend-Lebensmittelinformations-DVO-2.pdf?__blob=publicationFile&v=4";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Kabinettfassung/1VO-Aend-Lebensmittelinformations-DVO-regierung.pdf?__blob=publicationFile&v=3";NA;NA;NA;"AOK-Bundesverband";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Stellungnahmen/1VO-Aend-Lebensmittelinformations-DVO-AOK.pdf?__blob=publicationFile&v=2";"BMEL"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/1VO-Aend-Lebensmittelinformations-DVO.html";"Erste Verordnung zur Änderung der Lebensmittelinformations-Durchführungsverordnung";2020-08-19;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/1VO-Aend-Lebensmittelinformations-DVO-2.pdf?__blob=publicationFile&v=4";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Kabinettfassung/1VO-Aend-Lebensmittelinformations-DVO-regierung.pdf?__blob=publicationFile&v=3";NA;NA;NA;"Arla";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Stellungnahmen/1VO-Aend-Lebensmittelinformations-DVO-Arla.pdf?__blob=publicationFile&v=2";"BMEL"
"https://www.bmel.de/SharedDocs/Gesetzestexte/DE/1VO-Aend-Lebensmittelinformations-DVO.html";"Erste Verordnung zur Änderung der Lebensmittelinformations-Durchführungsverordnung";2020-08-19;"Verordnung";"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Referentenentwuerfe/1VO-Aend-Lebensmittelinformations-DVO-2.pdf?__blob=publicationFile&v=4";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Kabinettfassung/1VO-Aend-Lebensmittelinformations-DVO-regierung.pdf?__blob=publicationFile&v=3";NA;NA;NA;"Bundesverband der Kinder- und Jugendärzte";NA;"https://www.bmel.de/SharedDocs/Downloads/DE/Glaeserne-Gesetze/Stellungnahmen/1VO-Aend-Lebensmittelinformations-DVO-bvkj.pdf?__blob=publicationFile&v=2";"BMEL"
