"links";"names";"last.updates";"Vorgangstyp";"Referentenentwurf.Link";"Referentenentwurf.Date";"Regierungsentwurf.Link";"Regierungsentwurf.Date";"Gesetz.Link";"Gesetz.Date";"actors";"statement.date";"statement.links";"ministry"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Bundesverbandes anerkannter Auslandsvermittlungsstellen in Freier Trägerschaft e.V.";2019-10-08;"http://www.bmfsfj.de/blob/jump/140630/baft-data.pdf";"BMFSFJ"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Deutschen Notarvereins";2019-10-02;"http://www.bmfsfj.de/blob/jump/140632/dnotv-data.pdf";"BMFSFJ"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Deutschen Gesellschaft für Psychologie e.V.";2019-09-26;"http://www.bmfsfj.de/blob/jump/140634/dgps-data.pdf";"BMFSFJ"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Lesben- und Schwulenverbandes";2019-10-02;"http://www.bmfsfj.de/blob/jump/140636/lsvd-data.pdf";"BMFSFJ"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Bundesverbandes der Pflege- und Adoptivfamilien e.V.";2019-10-01;"http://www.bmfsfj.de/blob/jump/140638/pfad-data.pdf";"BMFSFJ"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Diakonie Deutschland";2019-09-30;"http://www.bmfsfj.de/blob/jump/140640/diakonie-data.pdf";"BMFSFJ"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Sozialdiensts katholischer Frauen Gesamtverein e.V.";2019-10-02;"http://www.bmfsfj.de/blob/jump/140642/skf-data.pdf";"BMFSFJ"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Vereinigung Analytischer Kinder- und Jugendlichenpsychotherapeuten in Deutschland";2019-10-02;"http://www.bmfsfj.de/blob/jump/140644/vakjp-data.pdf";"BMFSFJ"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Deutschen Vereins für öffentliche und private Fürsorge e.V.";2019-10-07;"http://www.bmfsfj.de/blob/jump/140646/deutscher-verein-fuer-oeffentliche-und-private-fuersorge-data.pdf";"BMFSFJ"
"https://www.bmfsfj.de/bmfsfj/service/gesetze/gesetz-zur-verbesserung-der-hilfen-fuer-familien-bei-adoption--adoptionshilfe-gesetz-/138362";"Gesetz zur Verbesserung der Hilfen für Familien bei Adoption (Adoptionshilfe-Gesetz)";2020-05-28;"Gesetz";"http://www.bmfsfj.de/blob/jump/138400/20190912-referentenentwurf-adoptionshilfegestz-data.pdf";2019-09-12;"http://www.bmfsfj.de/blob/jump/140654/gesetzentwurf-adoptionshilfegesetz-data.pdf";2019-11-06;NA;NA;"Evangelischen Bundesverbandes Adoption e. V.";2019-09-30;"http://www.bmfsfj.de/blob/jump/140648/evba-data.pdf";"BMFSFJ"
