"links";"names";"last.updates";"Vorgangstyp";"Referentenentwurf.Link";"Referentenentwurf.Date";"Regierungsentwurf.Link";"Regierungsentwurf.Date";"Gesetz.Link";"Gesetz.Date";"actors";"statement.date";"statement.links";"ministry"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/ausgangsstoffgesetz.html";"Entwurf eines Gesetzes zur Durchführung der Verordnung (EU) 2019/1148 des Europäischen Parlaments und des Rates vom 20. Juni 2019 über die Vermarktung und Verwendung von Ausgangsstoffen für Explosivstoffe, zur Änderung der Verordnung (EG) Nr. 1907/2006 und zur Aufhebung der Verordnung (EU) Nr. 98/2013";2020-09-03;"Verordnung";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/ausgangsstoffgesetz.pdf?__blob=publicationFile&v=2";NA;NA;NA;NA;NA;"ABDA - Bundesvereinigung Deutscher Apothekerverbände e.V.";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/ausgangsstoffgesetz/abda-apotheker.pdf?__blob=publicationFile&v=1";"BMI"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/ausgangsstoffgesetz.html";"Entwurf eines Gesetzes zur Durchführung der Verordnung (EU) 2019/1148 des Europäischen Parlaments und des Rates vom 20. Juni 2019 über die Vermarktung und Verwendung von Ausgangsstoffen für Explosivstoffe, zur Änderung der Verordnung (EG) Nr. 1907/2006 und zur Aufhebung der Verordnung (EU) Nr. 98/2013";2020-09-03;"Verordnung";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/ausgangsstoffgesetz.pdf?__blob=publicationFile&v=2";NA;NA;NA;NA;NA;"Bundesverband Agrarhandel e.V.";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/ausgangsstoffgesetz/agrarhandel.pdf?__blob=publicationFile&v=1";"BMI"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/ausgangsstoffgesetz.html";"Entwurf eines Gesetzes zur Durchführung der Verordnung (EU) 2019/1148 des Europäischen Parlaments und des Rates vom 20. Juni 2019 über die Vermarktung und Verwendung von Ausgangsstoffen für Explosivstoffe, zur Änderung der Verordnung (EG) Nr. 1907/2006 und zur Aufhebung der Verordnung (EU) Nr. 98/2013";2020-09-03;"Verordnung";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/ausgangsstoffgesetz.pdf?__blob=publicationFile&v=2";NA;NA;NA;NA;NA;"Verband Chemiehandel und Verband der chemischen Industrie e.V.";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/ausgangsstoffgesetz/chemiehandel.pdf?__blob=publicationFile&v=2";"BMI"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/ausgangsstoffgesetz.html";"Entwurf eines Gesetzes zur Durchführung der Verordnung (EU) 2019/1148 des Europäischen Parlaments und des Rates vom 20. Juni 2019 über die Vermarktung und Verwendung von Ausgangsstoffen für Explosivstoffe, zur Änderung der Verordnung (EG) Nr. 1907/2006 und zur Aufhebung der Verordnung (EU) Nr. 98/2013";2020-09-03;"Verordnung";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/ausgangsstoffgesetz.pdf?__blob=publicationFile&v=2";NA;NA;NA;NA;NA;"Verband Chemiehandel und Verband der chemischen Industrie e.V.- Ergänzung zur Stellungnahme";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/ausgangsstoffgesetz/chemiehandel-ergaenzung.pdf?__blob=publicationFile&v=3";"BMI"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/ausgangsstoffgesetz.html";"Entwurf eines Gesetzes zur Durchführung der Verordnung (EU) 2019/1148 des Europäischen Parlaments und des Rates vom 20. Juni 2019 über die Vermarktung und Verwendung von Ausgangsstoffen für Explosivstoffe, zur Änderung der Verordnung (EG) Nr. 1907/2006 und zur Aufhebung der Verordnung (EU) Nr. 98/2013";2020-09-03;"Verordnung";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/ausgangsstoffgesetz.pdf?__blob=publicationFile&v=2";NA;NA;NA;NA;NA;"HDE - Handelsverband Deutschland";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/ausgangsstoffgesetz/handelsverband.pdf?__blob=publicationFile&v=2";"BMI"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/ausgangsstoffgesetz.html";"Entwurf eines Gesetzes zur Durchführung der Verordnung (EU) 2019/1148 des Europäischen Parlaments und des Rates vom 20. Juni 2019 über die Vermarktung und Verwendung von Ausgangsstoffen für Explosivstoffe, zur Änderung der Verordnung (EG) Nr. 1907/2006 und zur Aufhebung der Verordnung (EU) Nr. 98/2013";2020-09-03;"Verordnung";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/ausgangsstoffgesetz.pdf?__blob=publicationFile&v=2";NA;NA;NA;NA;NA;"Deutscher Raiffeisenverband e.V.";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/ausgangsstoffgesetz/raiffeisenverband.pdf?__blob=publicationFile&v=1";"BMI"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/zweites-gesetz-zur-aenderung-des-bundesmeldegesetzes.html";"Zweites Gesetz zur Änderung des Bundesmeldegesetzes";2020-07-15;"Gesetz";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/entwurf-zweites-gesetz-aenderung-bundesmeldegesetz-referentenentwurf.pdf?__blob=publicationFile&v=5";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/kabinettsfassung/zweites-gesetz-zur-aenderung-des-bundesmeldegesetzes.pdf?__blob=publicationFile&v=2";NA;NA;NA;"DATABUND e. V.";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/entwurf-eines-zweiten-gesetzes-zur-aenderung-des-bundesmeldegesetzes/databund.pdf?__blob=publicationFile&v=5";"BMI"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/zweites-gesetz-zur-aenderung-des-bundesmeldegesetzes.html";"Zweites Gesetz zur Änderung des Bundesmeldegesetzes";2020-07-15;"Gesetz";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/entwurf-zweites-gesetz-aenderung-bundesmeldegesetz-referentenentwurf.pdf?__blob=publicationFile&v=5";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/kabinettsfassung/zweites-gesetz-zur-aenderung-des-bundesmeldegesetzes.pdf?__blob=publicationFile&v=2";NA;NA;NA;"Deutscher Städtetag";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/entwurf-eines-zweiten-gesetzes-zur-aenderung-des-bundesmeldegesetzes/deutscher-staedtetag.pdf?__blob=publicationFile&v=3";"BMI"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/zweites-gesetz-zur-aenderung-des-bundesmeldegesetzes.html";"Zweites Gesetz zur Änderung des Bundesmeldegesetzes";2020-07-15;"Gesetz";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/entwurf-zweites-gesetz-aenderung-bundesmeldegesetz-referentenentwurf.pdf?__blob=publicationFile&v=5";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/kabinettsfassung/zweites-gesetz-zur-aenderung-des-bundesmeldegesetzes.pdf?__blob=publicationFile&v=2";NA;NA;NA;"Deutscher Industrie und Handelskammertag e. V.";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/entwurf-eines-zweiten-gesetzes-zur-aenderung-des-bundesmeldegesetzes/dihk.pdf?__blob=publicationFile&v=4";"BMI"
"https://www.bmi.bund.de/SharedDocs/gesetzgebungsverfahren/DE/zweites-gesetz-zur-aenderung-des-bundesmeldegesetzes.html";"Zweites Gesetz zur Änderung des Bundesmeldegesetzes";2020-07-15;"Gesetz";"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/referentenentwuerfe/entwurf-zweites-gesetz-aenderung-bundesmeldegesetz-referentenentwurf.pdf?__blob=publicationFile&v=5";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/kabinettsfassung/zweites-gesetz-zur-aenderung-des-bundesmeldegesetzes.pdf?__blob=publicationFile&v=2";NA;NA;NA;"des Bevollmächtigten des Rates der EKD und des Kommissariats der deutschen Bischöfe";NA;"https://www.bmi.bund.de//SharedDocs/gesetzgebungsverfahren/DE/Downloads/stellungnahmen/entwurf-eines-zweiten-gesetzes-zur-aenderung-des-bundesmeldegesetzes/ekd-und-kommissariat-dt-bischoefe.pdf?__blob=publicationFile&v=3";"BMI"
