"links";"names";"last.updates";"Vorgangstyp";"Referentenentwurf.Link";"Referentenentwurf.Date";"Regierungsentwurf.Link";"Regierungsentwurf.Date";"Gesetz.Link";"Gesetz.Date";"actors";"statement.date";"statement.links";"ministry"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_des_Paragrafen_501_des_Buergerlichen_Gesetzbuchs.html";"Gesetz zur Änderung des § 501 des BGB in Umsetzung des Urteils des Gerichtshofs der Europäischen Union in der Rechtssache C-383/18";2020-09-04;"Gesetz";"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Dokumente/RefE_Aenderung_des_Paragrafen_501_des_Buergerlichen_Gesetzbuchs.pdf?__blob=publicationFile&v=2";2020-09-04;NA;NA;NA;NA;NA;NA;NA;"BMJV"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_Betrug_u_Faelschung_mit_unbaren_Zahlungsmitteln.html";"Umsetzung der Richtlinie (EU) 2019/713 zur Bekämpfung von Betrug und Fälschung im Zusammenhang mit unbaren Zahlungsmitteln";2020-09-03;"Gesetz";"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Dokumente/RefE_Bekaempfung_Betrug_u_Faelschung_mit_unbaren_Zahlungsmitteln.pdf?__blob=publicationFile&v=3";2020-09-03;NA;NA;NA;NA;NA;NA;NA;"BMJV"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Versorgungsausgleich.html";"Gesetz zur Änderung des Versorgungsausgleichsrechts";2020-09-02;"Gesetz";"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Dokumente/RefE_Versorgungsausgleich.pdf?__blob=publicationFile&v=2";2020-09-02;NA;NA;NA;NA;NA;NA;NA;"BMJV"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Verlaengerung_Insolvenz_Covid.html";"Gesetz zur Änderung des COVID-19-Insolvenzaussetzungsgesetzes";2020-09-02;"Gesetz";NA;NA;NA;NA;NA;NA;NA;NA;NA;"BMJV"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Modernisierung_Patentrecht_2.html";"Zweites Gesetz zur Vereinfachung und Modernisierung des Patentrechts";2020-09-01;"Gesetz";"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Dokumente/RefE_PatMog2.pdf?__blob=publicationFile&v=1";2020-09-01;NA;NA;NA;NA;NA;NA;NA;"BMJV"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_sex_Gewalt_Kinder.html";"Gesetz zur Bekämpfung sexualisierter Gewalt gegen Kinder";2020-08-31;"Gesetz";"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Dokumente/RefE_Bekaempfung_sex_Gewalt_Kinder.pdf?__blob=publicationFile&v=2";2020-08-31;NA;NA;NA;NA;NA;NA;NA;"BMJV"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Widerruf_Verbraucherdarlehen.html";"Gesetz zur Änderung des Musters für eine Widerrufsinformation für Allgemein-Verbraucherdarlehensverträge";2020-08-28;"Gesetz";"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Dokumente/RefE_Widerruf_Verbraucherdarlehen.pdf?__blob=publicationFile&v=2";2020-08-28;NA;NA;NA;NA;NA;NA;NA;"BMJV"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Pekinger_Uebereinkommen.html";"Gesetz zu dem Pekinger Übereinkommen und dem Pekinger Protokoll von 2010";2020-08-12;"Gesetz";NA;NA;NA;NA;NA;NA;NA;NA;NA;"BMJV"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Einfuehrung_elektr_Wertpapiere.html";"Gesetz zur Einführung von elektronischen Wertpapieren";2020-08-11;"Gesetz";"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/Dokumente/RefE_Einfuehrung_elektr_Wertpapiere.html?nn=6712350";2020-08-11;NA;NA;NA;NA;NA;NA;NA;"BMJV"
"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Geldwaesche_Bekaempfung.html";"Gesetz zur Verbesserung der strafrechtlichen Bekämpfung der Geldwäsche";2020-08-11;"Gesetz";"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/Dokumente/RefE_Geldwaesche_Bekaempfung.html?nn=6712350";2020-08-11;NA;NA;NA;NA;NA;NA;NA;"BMJV"
