"links";"names";"last.updates";"Vorgangstyp";"Referentenentwurf.Link";"Referentenentwurf.Date";"Regierungsentwurf.Link";"Regierungsentwurf.Date";"Gesetz.Link";"Gesetz.Date";"actors";"statement.date";"statement.links";"ministry"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/verordnung-ausnahmen-vorschriften-fahrzeug-zulassungsverordnung.html";"Verordnung über Ausnahmen von den Vorschriften der Fahrzeug-Zulassungsverordnung (FZV-Ausnahmeverordnung - FZVAusnV)";NA;"Verordnung";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/verordnung-ausnahmen-vorschriften-fahrzeug-zulassungsverordnung.pdf?__blob=publicationFile";NA;NA;NA;"https://www.bgbl.de/xaver/bgbl/start.xav?startbk=Bundesanzeiger_BGBl&amp;jumpTo=bgbl120s1968.pdf#__bgbl__%2F%2F*%5B%40attr_id%3D%27bgbl120s1968.pdf%27%5D__1598947819235";NA;"Bundesverbandes Kraftfahrzeug-Kennzeichen e.V.";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/ausnahmen-vorschriften-fahrzeug-zulassungsverordnung-stellungnahme-1.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/verordnung-ausnahmen-vorschriften-fahrzeug-zulassungsverordnung.html";"Verordnung über Ausnahmen von den Vorschriften der Fahrzeug-Zulassungsverordnung (FZV-Ausnahmeverordnung - FZVAusnV)";NA;"Verordnung";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/verordnung-ausnahmen-vorschriften-fahrzeug-zulassungsverordnung.pdf?__blob=publicationFile";NA;NA;NA;"https://www.bgbl.de/xaver/bgbl/start.xav?startbk=Bundesanzeiger_BGBl&amp;jumpTo=bgbl120s1968.pdf#__bgbl__%2F%2F*%5B%40attr_id%3D%27bgbl120s1968.pdf%27%5D__1598947819235";NA;"Gesamtverbandes der Deutschen Versicherungswirtschaft e.V.";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/ausnahmen-vorschriften-fahrzeug-zulassungsverordnung-stellungnahme-2.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/verordnung-ausnahmen-vorschriften-fahrzeug-zulassungsverordnung.html";"Verordnung über Ausnahmen von den Vorschriften der Fahrzeug-Zulassungsverordnung (FZV-Ausnahmeverordnung - FZVAusnV)";NA;"Verordnung";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/verordnung-ausnahmen-vorschriften-fahrzeug-zulassungsverordnung.pdf?__blob=publicationFile";NA;NA;NA;"https://www.bgbl.de/xaver/bgbl/start.xav?startbk=Bundesanzeiger_BGBl&amp;jumpTo=bgbl120s1968.pdf#__bgbl__%2F%2F*%5B%40attr_id%3D%27bgbl120s1968.pdf%27%5D__1598947819235";NA;"Industrieverbandes KFZ-Kennzeichenschilder";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/ausnahmen-vorschriften-fahrzeug-zulassungsverordnung-stellungnahme-3.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/verordnung-ausnahmen-vorschriften-fahrzeug-zulassungsverordnung.html";"Verordnung über Ausnahmen von den Vorschriften der Fahrzeug-Zulassungsverordnung (FZV-Ausnahmeverordnung - FZVAusnV)";NA;"Verordnung";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/verordnung-ausnahmen-vorschriften-fahrzeug-zulassungsverordnung.pdf?__blob=publicationFile";NA;NA;NA;"https://www.bgbl.de/xaver/bgbl/start.xav?startbk=Bundesanzeiger_BGBl&amp;jumpTo=bgbl120s1968.pdf#__bgbl__%2F%2F*%5B%40attr_id%3D%27bgbl120s1968.pdf%27%5D__1598947819235";NA;"Zweirad-Industrie-Verbandes e.V.";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/ausnahmen-vorschriften-fahrzeug-zulassungsverordnung-stellungnahme-4.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"VDV";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-1.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"DUH";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-2.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"DUH";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-3.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"BAG-SPNV";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-4.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"BDVR";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-5.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"VKU";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-6.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"Allianz pro Schiene";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-7.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"BDI";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-8.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"VUV";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-9.pdf?__blob=publicationFile";"BMVI"
"https://www.bmvi.de/SharedDocs/DE/Gesetze-19/investitionsbeschleunigungsgesetz.html";"Entwurf eines Investitionsbeschleunigungsgesetzes";NA;"Gesetz";"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz.pdf?__blob=publicationFile";NA;NA;NA;NA;NA;"Deutschen Städtetags";NA;"https://www.bmvi.de/SharedDocs/DE/Anlage/Gesetze/Gesetze-19/investitionsbeschleunigungsgesetz-stellungnahme-10.pdf?__blob=publicationFile";"BMVI"
